title,href
"Application of centrifugal microfluidics in immunoassay, biochemical analysis and molecular diagnosis",https://pubs.rsc.org/an/article-abstract/146/19/5800/714494
"Commercial point-of-care devices for Sepsis diagnosis: A scoping review of technologies, diagnostic targets, and clinical evidence",https://www.sciencedirect.com/science/article/pii/S2214180426000759
Unveiling the underpinnings of various non-conventional ELISA variants: A review article,https://www.tandfonline.com/doi/abs/10.1080/14737159.2022.2117615
Nanomaterial and interface advances in immunoassay biosensors,https://pubs.acs.org/jpccck/article/126/42/17804/503044
Testing viral infections,https://www.sciencedirect.com/science/article/pii/B9780323918145000039
Lateral flow assays and their role in healthcare,https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780443331565000051
Culture-independent diagnostics for health security,https://journals.sagepub.com/doi/abs/10.1089/hs.2015.0074
Advances in rapid point-of-care virus testing,https://pubs.rsc.org/an/article-abstract/149/9/2507/836296
Emerging point-of-care optical biosensing technologies for diagnostics of microbial infections,https://pubs.acs.org/doi/abs/10.1021/acsaom.3c00129
Ultrasensitive photothermal/fluorescent paper-based microfluidic immunosensor for nuclear matrix protein 22 quantification in human urine samples for rapid …,https://www.sciencedirect.com/science/article/pii/S0925400526004922
Performance of procalcitonin point-of-care tests in predicting bacterial causes of acute febrile illness in Northwest Ethiopia,https://link.springer.com/article/10.1186/s12879-025-12007-w
Immunoassay quantification using surface-enhanced fluorescence (SEF) tags,https://pubs.rsc.org/an/article-abstract/142/15/2717/552814
An outbreak of human parvovirus B19 hidden by dengue fever,https://academic.oup.com/cid/article-abstract/68/5/810/5126385
Serology as a tool to assess infectious disease landscapes and guide public health policy,https://www.mdpi.com/2076-0817/11/7/732
Mosquito-borne arboviruses occurrence and distribution in the last three decades in Central Africa: a systematic literature review,https://www.mdpi.com/2076-2607/12/1/4
Next-generation biosensing platforms: critical analysis of nanomaterial-enabled strategies and clinical translation,https://link.springer.com/article/10.1186/s44510-026-00002-7
"Step by step with ELISA: Mechanism of operation, crucial elements, different protocols, and insights on immobilization and detection of various biomolecular entities",https://link.springer.com/chapter/10.1007/978-981-10-6766-2_3
Virus detection: from state‐of‐the‐art laboratories to smartphone‐based point‐of‐care testing,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/advs.202105904
"Luminescent lanthanide nanoparticles for ultrasensitive enzyme-linked immunosorbent assay"" ELISA""",https://theses.hal.science/tel-04398163/
"Rapid detection strategies for the global threat of Zika virus: current state, new hypotheses, and limitations",https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2016.01685/full
Development of a Fluorescent Rapid Test Sensing System for Influenza Virus,https://www.mdpi.com/2072-666X/16/6/635
Advancing access to diagnostic tools essential for universal health coverage and antimicrobial resistance prevention: an overview of trials in Sub-Saharan Africa,https://academic.oup.com/cid/article-abstract/77/Supplement_2/S125/7231001
Sensitive and quantitative biosensing technique based on NV centres-doped nanodiamonds applied to lateral flow assays,https://www.nature.com/articles/s41598-026-37454-6
Application of microfluidics in immunoassay: Recent advancements,https://onlinelibrary.wiley.com/doi/abs/10.1155/2021/2959843
Laboratory diagnosis of virus diseases,https://pmc.ncbi.nlm.nih.gov/articles/PMC7149825/
Plasmonic molecular assays: Recent advances and applications for mobile health,https://link.springer.com/article/10.1007/s12274-018-2094-9
Identification of a highly conserved epitope on avian influenza virus non-structural protein 1 using a peptide microarray,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0149868
A fluorometric clenbuterol immunoassay using sulfur and nitrogen doped carbon quantum dots,https://link.springer.com/article/10.1007/s00604-019-3431-8
Plasmonic nanomaterials for colorimetric biosensing: a review,https://www.mdpi.com/2227-9040/10/4/136
Quantum spin detection in microfiltration immunoassays for ultrasensitive and high-throughput diagnostics,https://pmc.ncbi.nlm.nih.gov/articles/PMC12921671/
Recent innovations in cost-effective polymer and paper hybrid microfluidic devices,https://pubs.rsc.org/lc/article-abstract/21/14/2658/730644
Optically Active Nanomaterials for Point-of-Care Diagnosis in Healthcare,https://link.springer.com/chapter/10.1007/978-981-99-3025-8_5
Optical diagnostic based on functionalized gold nanoparticles,https://www.mdpi.com/1422-0067/20/18/4346
"Clinic viral diagnostics, viral vaccines, and advanced immunology",https://www.sciencedirect.com/science/article/pii/B9780443152412000077
Salivary Diagnosis of Infectious Diseases,https://link.springer.com/chapter/10.1007/978-3-030-37681-9_11
Rapid Detection Strategies for the,https://books.google.com/books?hl=en&lr=&id=kbZVDwAAQBAJ&oi=fnd&pg=PA168&dq=dengue+NS1+%22fluorescence+immunoassay%22+OR+%22STANDARD+F%22+OR+%22QUANTI+CARD%22+ELISA+sensitivity&ots=cLuDBQlzxY&sig=lKAF828gZegWHI5cN4u8RM8yoQs
Development of a Microsphere-based Immunoassay for the Detection of IgM Antibodies to West Nile Virus and St. Louis Encephalitis Virus in Sentinel Chicken Sera,https://digitalcommons.usf.edu/etd/2543/
Biosensors for detecting viral and bacterial infections using host biomarkers: a review,https://pubs.rsc.org/an/article-abstract/145/24/7825/672283
Rapid detection of antibodies in skin interstitial fluid via fluorescent testing using antigen-modified porous microneedles,https://www.sciencedirect.com/science/article/pii/S0927775724008483
Immunological detection and characterization,https://link.springer.com/chapter/10.1007/978-1-4899-7448-8_3
Hybrid impedimetric biosensors for express protein markers detection,https://www.mdpi.com/2072-666X/15/2/181
Paula Ciáurriz Gortari,https://academica-e.unavarra.es/server/api/core/bitstreams/1a99cb23-a61f-4007-8f28-5638c86fdb09/content
Molecularly imprinted polymer-based sensors: A way-forward concept for artificial antibodies,https://www.sciencedirect.com/science/chapter/edited-volume/pii/B9780128238295000063
"Comparison of MIP-, Antibody-and aptamer-based biosensors for diagnostic technologies",https://link.springer.com/chapter/10.1007/978-3-031-67368-9_3
Fundamentals of surface-enhanced Raman spectroscopy in diagnostics,https://iopscience.iop.org/book/edit/978-0-7503-5920-7/chapter/bk978-0-7503-5920-7ch1
Development of innovative Q-LAMP assay for direct detection and amplification of influenza A/B and RSV genomes,https://boa.unimib.it/handle/10281/301792
Immunologic Detection and Characterization,https://link.springer.com/content/pdf/10.1007/978-1-4939-9544-8_3-1.pdf
Molecular Imprinted Polymers for Biomedical Applications,https://books.rsc.org/books/edited-volume/1058/chapter/876391
Over-interpretation of findings in diagnostic accuracy studies of infectious diseases,https://www.sciencedirect.com/science/article/pii/S1198743X23001209
