sources,pmid,doi,pui,ut,pii,title,year,journal
embase|pubmed,40571886,10.1007/s12033-025-01469-7,2035077677,,,"Uncovering the Unique Epitopes: Validation of In-Silico Synthesized Tetravalent Dengue Vaccine (dvac) Through Cloning, Expression, and Immunogenic Analysis.",2026,Mol Biotechnol
embase|pubmed,40503688,10.1021/acs.bioconjchem.5c00153,2039139862,,,Multilayer Fluorescent Immunoassay for Early and Sensitive Dengue Virus Detection Using Host and Viral Biomarkers.,2025,Bioconjug Chem
pubmed,40209729,10.1016/j.lanmic.2025.101088,,,,"Evaluating the performance of common reference laboratory tests for acute dengue diagnosis: a systematic review and meta-analysis of RT-PCR, NS1 ELISA, and IgM ELISA.",2025,Lancet Microbe
embase|pubmed,40097175,10.3343/alm.2024.0558,646864390,,,Sensitivity and Specificity of an All-in-one Cartridge-based Dengue Real-time Reverse Transcription-PCR for Point-of-care Detection and Serotyping of Dengue Virus in Samples from Indonesian Patients.,2025,Ann Lab Med
embase|pubmed,39977056,10.21149/15407,646638101,,,Evolution of Zika prevalence in a dengue hyperendemic municipality in Southern Mexico after the outbreak of 2015 to 2017.,2024,Salud Publica Mex
embase|pubmed,39972477,10.1186/s12929-024-01116-4,2033370513,,,A non-structural protein 1 substitution of dengue virus enhances viral replication by interfering with the antiviral signaling pathway.,2025,J Biomed Sci
pubmed,39759638,10.7759/cureus.75174,,,,Assessing the Diagnostic Value of Mean Monocyte Volume and Hematological Parameters in Predicting Dengue Fever: A Cross-Sectional Analysis.,2024,Cureus
embase|pubmed,39636259,10.4103/jvbd.jvbd_151_24,2040423501,,,"Prevalence and seasonal patterns of vector-borne diseases in patients presenting with acute febrile illness in a tertiary care hospital in Puducherry, India: A prospective observational study.",2025,J Vector Borne Dis
embase|pubmed,39620308,10.1002/jmv.70100,2032463221,,,Serotype-Specific Dengue Virus IgG Assay Using EDIII-Based Recombinant Proteins and Its Application in an Endemic Population in Northeast Brazil.,2024,J Med Virol
embase|pubmed,39550979,10.1016/j.diagmicrobio.2024.116588,2035717474,,,Exploring potential application of anti-dengue NS1 human polyclonal antibodies for detection of dengue virus infection.,2025,Diagn Microbiol Infect Dis
embase|pubmed,39435048,10.1155/2024/5588127,2034063216,,,Support Vector Machine Outperforms Other Machine Learning Models in Early Diagnosis of Dengue Using Routine Clinical Data.,2024,Adv Virol
embase|pubmed,39194193,10.1128/jcm.00593-24,2035377878,,,Comparison of the sensitivity and specificity of commercial anti-dengue virus IgG tests to identify persons eligible for dengue vaccination.,2024,J Clin Microbiol
embase|pubmed,39134458,10.1089/vbz.2024.0009,2034061890,,,Commercial Enzyme-Linked Immunosorbent Assay Kit Is Useful for Detection of Recombinant and Secretory Nonstructural-1 Protein Antigen of Dengue Virus.,2024,Vector Borne Zoonotic Dis
embase|pubmed,39113381,10.4103/jvbd.jvbd_45_23,2037803939,,,A study on evaluation and correlation of serological methods and platelet count for diagnosis of dengue virus infection.,2025,J Vector Borne Dis
embase|pubmed,38980575,10.1007/s40291-024-00728-8,2030522735,,,Identification of Immunodominant Epitopes of Dengue Virus 2 Envelope and NS1 Proteins: Evaluating the Diagnostic Potential of a Synthetic Peptide.,2024,Mol Diagn Ther
embase|pubmed,38942174,10.1016/j.jviromet.2024.114991,2033064404,,,Diagnostic accuracy of Dengue NS1 lateral flow immunoassay in comparison to reverse transcriptase polymerase chain reaction and enzyme linked Immunosorbent Assay.,2024,J Virol Methods
embase|pubmed,38793670,10.3390/v16050788,2029949483,,,Comparison of Five Serological Methods for the Detection of West Nile Virus Antibodies.,2024,Viruses
pubmed,38681627,10.1016/j.heliyon.2024.e29329,,,,Development of an Enzyme-Linked Immunosorbent Assay (ELISA) as a tool to detect NS1 of dengue virus serotype 2 in female Aedes aegypti eggs for the surveillance of dengue fever transmission.,2024,Heliyon
embase|pubmed,38518559,10.1016/j.bios.2024.116218,2031169158,,,Urinary dengue NS1 detection on Au-decorated ZnO nanowire platform.,2024,Biosens Bioelectron
embase|pubmed,38503028,10.1016/j.diagmicrobio.2024.116227,2031098346,,,Systematic review and meta-analysis: assessing the accuracy of rapid immunochromatographic tests in dengue diagnosis.,2024,Diagn Microbiol Infect Dis
pubmed,38482314,10.4103/jfmpc.jfmpc_1171_23,,,,A comparative study of NS1 and IgM using enzyme-linked immunosorbent assay and immunochromatography test for detection of dengue.,2024,J Family Med Prim Care
embase|pubmed,38436801,10.1007/s00604-024-06259-7,643653507,,,Point-of-care dengue detection: polydopamine-modified electrode for rapid NS1 protein testing for clinical samples.,2024,Mikrochim Acta
embase|pubmed,38345251,10.3791/66130,643490041,,,Portable Paper-Based Immunoassay Combined with Smartphone Application for Colorimetric and Quantitative Detection of Dengue NS1 Antigen.,2024,J Vis Exp
embase|pubmed,38313186,10.25122/jml-2022-0300,643422206,,,Non-structural protein 1 and hematology parameters as predictors of dengue virus infection severity in Indonesia.,2023,J Med Life
embase|pubmed,38291109,10.1038/s41598-024-52123-2,643377935,,,Development of a quantitative NS1 antigen enzyme-linked immunosorbent assay (ELISA) for Zika virus detection using a novel virus-specific mAb.,2024,Sci Rep
embase|pubmed,38257751,10.3390/v16010050,2028106780,,,Diagnosis of Imported Dengue and Zika Virus Infections in Italy from November 2015 to November 2022: Laboratory Surveillance Data from a National Reference Laboratory.,2023,Viruses
pubmed,38005845,10.3390/v15112167,,,,Direct Dengue Virus Genome Sequencing from Antigen NS1 Rapid Diagnostic Tests: A Proof-of-Concept with the Standard Q Dengue Duo Assay.,2023,Viruses
embase|pubmed,37963312,10.1097/inf.0000000000004163,2029914088,,,NS1-Specific Antibody Response Facilitates the Identification of Children With Dengue and Zika in Hyperendemic Areas.,2024,Pediatr Infect Dis J
embase|pubmed,37780908,10.1007/s13337-023-00831-0,2024623409,,,Utility of CDC DENV1-4 real time PCR assay and trioplex assay for the diagnosis of dengue in patients with acute febrile illness.,2023,Virusdisease
pubmed,37767431,10.4103/jfmpc.jfmpc_1176_22,,,,Seroprevalence and incidence of primary dengue infection and its correlation with fetomaternal prognosis in Western Rajasthan.,2023,J Family Med Prim Care
embase|pubmed,37766342,10.3390/v15091936,2025691801,,,Multi-epitope Antigen for Specific Serological Detection of Dengue Viruses.,2023,Viruses
embase|pubmed,37766300,10.3390/v15091894,2025691658,,,Advanced Detection Method for Dengue NS1 Protein Using Ultrasensitive ELISA with Thio-NAD Cycling.,2023,Viruses
pubmed,37647515,10.1021/acs.analchem.3c01363,,,,Designing Quantum Capacitive Peptide Interfaces for Electroanalytical Applications.,2023,Anal Chem
embase|pubmed,37573050,10.1016/j.ijmmb.2023.100376,2025007339,,,Prospective study to compare results of FIA (fluorescent immunoassay) test with gold standard ELISA test in Dengue NS1 patients admitted in a tertiary care hospital.,2023,Indian J Med Microbiol
embase|pubmed,37554332,10.3389/fimmu.2023.1202055,2024843837,,,Identification of prior dengue-naïve Dengvaxia recipients with an increased risk for symptomatic dengue during fever surveillance in the Philippines.,2023,Front Immunol
embase|pubmed,37499611,10.1016/j.psj.2023.102926,641895413,,,Linear epitope identification of monoclonal antibodies against the duck Tembusu virus NS1.,2023,Poult Sci
embase|pubmed,37427537,10.1039/d3nr01858j,641770555,,,Development of a thermochromic lateral flow assay to improve sensitivity for dengue virus serotype 2 NS1 detection.,2023,Nanoscale
pubmed,37417532,10.1080/14737159.2023.2234815,,,,Diagnostic approaches for dengue infection.,2023,Expert Rev Mol Diagn
embase|pubmed,37263391,10.1016/j.jim.2023.113503,2024825269,,,Expression of recombinant dengue virus type 1 non-structural protein 1 in mammalian cells and preliminary assessment of its suitability to detect human IgG antibodies elicited by viral infection.,2023,J Immunol Methods
embase|pubmed,37261378,10.1155/2023/3995366,2024965533,,,Diagnosis of Acute Dengue Virus Infection Using Enzyme-Linked Immunosorbent Assay and Real-Time PCR.,2023,Can J Infect Dis Med Microbiol
embase|pubmed,37200264,10.1371/journal.pone.0285878,2024676142,,,A nonstructural protein 1 capture enzyme-linked immunosorbent assay specific for dengue viruses.,2023,PLoS One
embase|pubmed,37130982,10.1007/s11306-023-02011-z,2023045756,,,Integrated clinical and metabolomic analysis of dengue infection shows molecular signatures associated with host-pathogen interaction in different phases of the disease.,2023,Metabolomics
embase|pubmed,37112887,10.3390/v15040904,2023008938,,,Laboratory Evaluation and Field Testing of Dengue NS1 and IgM/IgG Rapid Diagnostic Tests in an Epidemic Context in Senegal.,2023,Viruses
embase|pubmed,37036441,10.1080/08820139.2023.2195432,2022468801,,,Production and Characterization of Two Specific ZIKV Antigens Based on Bioinformatic Analysis and Serological Screening.,2023,Immunol Invest
embase|pubmed,36992364,10.3390/v15030654,2022315219,,,Identification of Zika Virus NS1-Derived Peptides with Potential Applications in Serological Tests.,2023,Viruses
embase|pubmed,36980445,10.3390/diagnostics13061137,2022294092,,,"Performance of VIDAS(®) Diagnostic Tests for the Automated Detection of Dengue Virus NS1 Antigen and of Anti-Dengue Virus IgM and IgG Antibodies: A Multicentre, International Study.",2023,Diagnostics (Basel)
embase|pubmed,36888805,10.17843/rpmesp.2022.394.11471,2022854421,,,Diagnostic performance of the rapid test for the detection of NS1 antigen and IgM and IgG anti-antibodies against dengue virus.,2022,Rev Peru Med Exp Salud Publica
embase|pubmed,36828533,10.3390/tropicalmed8020117,2021805654,,,Diagnostic Performance of Dengue NS1 and Antibodies by Serum Concentration Technique.,2023,Trop Med Infect Dis
embase|pubmed,36548675,10.3390/tropicalmed7120420,2020734688,,,"Analysis of a Dengue Virus Outbreak in Rosso, Senegal 2021.",2022,Trop Med Infect Dis
pubmed,36512513,10.1021/acs.analchem.2c03521,,,,Spin-Enhanced Lateral Flow Immunoassay for High-Sensitivity Detection of Nonstructural Protein NS1 Serotypes of the Dengue Virus.,2022,Anal Chem
embase|pubmed,36426952,10.4049/jimmunol.2200251,2021402168,,,Generation of a Large Repertoire of Monoclonal Antibodies against Dengue Virus NS1 Antigen and the Development of a Novel NS1 Detection Enzyme-Linked Immunosorbent Assay.,2022,J Immunol
embase|pubmed,36355890,10.3390/tropicalmed7110348,2021951711,,,Development of an Anti-Zika and Anti-Dengue IgM ELISA Assay: Evaluation of Cross Reactivity and Validation.,2022,Trop Med Infect Dis
pubmed,36303183,10.1186/s12985-022-01904-0,,,,"Performance of the onstructural 1 Antigen Rapid Test for detecting all four DENV serotypes in clinical specimens from Bangkok, Thailand.",2022,Virol J
pubmed,36298682,10.3390/v14102127,,,,"Assessment of Dengue and Chikungunya Infections among Febrile Patients Visiting Four Healthcare Centres in Yaoundé and Dizangué, Cameroon.",2022,Viruses
embase|pubmed,36287995,10.3390/tropicalmed7100254,2019762263,,,Combining Immunoassays to Identify Zika Virus Infection in Dengue-Endemic Areas.,2022,Trop Med Infect Dis
embase|pubmed,36241653,10.1038/s41598-022-21581-x,639280212,,,A performance comparison between fluorescent immunoassay and immunochromatography for rapid dengue detection in clinical specimens.,2022,Sci Rep
pubmed,36194728,10.1021/acs.analchem.2c02012,,,,Detection of Dengue Virus 2 with Single Infected Mosquito Resolution Using Yeast Affinity Bionanofragments and Plasmonic SERS Nanoboxes.,2022,Anal Chem
embase|pubmed,35988010,10.1007/s10096-022-04485-6,2018719415,,,A systematic review and meta-analysis on the accuracy of rapid immunochromatographic tests for dengue diagnosis.,2022,Eur J Clin Microbiol Infect Dis
embase|pubmed,35886607,10.3390/ijerph19148756,2018305711,,,Diagnostic Accuracy of Various Immunochromatographic Tests for NS1 Antigen and IgM Antibodies Detection in Acute Dengue Virus Infection.,2022,Int J Environ Res Public Health
pubmed,35811081,10.1016/j.ijid.2022.07.013,,,,"COVID-19 serum can be cross-reactive and neutralizing against the dengue virus, as observed by the dengue virus neutralization test.",2022,Int J Infect Dis
embase|pubmed,35747186,10.1016/j.eclinm.2022.101478,2018632683,,,Evaluation of Zika rapid tests as aids for clinical diagnosis and epidemic preparedness.,2022,EClinicalMedicine
embase|pubmed,35708411,10.4103/0972-9062.328975,638270133,,,Detection of recombinant dengue virus 2 NS1 protein in Aedes aegypti mosquitoes using commercial Dengue NS1 ELISA kit.,2022,J Vector Borne Dis
pubmed,35685859,10.48327/mtsi.2021.183,,,,[Prevalence of dengue fever in patients with febrile syndrome at the Sylvanus Olympio Teaching Hospital of Lomé (Togo) in 2017].,2021,Med Trop Sante Int
embase|pubmed,35604130,10.1128/spectrum.00711-21,2019045577,,,Performance Evaluation of a Dengue IgG Rapid Diagnostic Test Designed to Determine Dengue Serostatus as Part of Prevaccination Screening.,2022,Microbiol Spectr
embase|pubmed,35507552,10.1371/journal.pntd.0010365,2016959908,,,Combining rapid diagnostic tests to estimate primary and post-primary dengue immune status at the point of care.,2022,PLoS Negl Trop Dis
pubmed,35497567,10.1039/d1ra05009e,,,,LSPR based on-chip detection of dengue NS1 antigen in whole blood.,2021,RSC Adv
embase|pubmed,35397074,10.1007/s10096-022-04441-4,2015582260,,,Non-structural protein 1 (NS1) variants from dengue virus clinical samples revealed mutations that influence NS1 production and secretion.,2022,Eur J Clin Microbiol Infect Dis
embase|pubmed,35389998,10.1371/journal.pntd.0010266,2016585199,,,Smartphone multiplex microcapillary diagnostics using Cygnus: Development and evaluation of rapid serotype-specific NS1 detection with dengue patient samples.,2022,PLoS Negl Trop Dis
pubmed,35313403,10.4103/aam.aam_72_20,,,,"Dengue seropositivity among blood donors in a tertiary hospital in Kerala, Southern India.",2022,Ann Afr Med
pubmed,35222574,10.4314/ahs.v21i3.20,,,,A comparative study of serological diagnosis of Dengue outbreak 2019.,2021,Afr Health Sci
embase|pubmed,35074951,10.4103/0972-9062.321747,637157388,,,Diagnostic accuracy of commercially available immunochromatographic rapid tests for diagnosis of dengue in India.,2021,J Vector Borne Dis
embase|pubmed,35001928,10.47665/tb.38.4.105,637034985,,,Evaluation of commercial serological assays in Malaysia for detection of anti-Zika virus antibodies.,2021,Trop Biomed
pubmed,34931760,10.1002/kjm2.12490,,,,Evaluation of a new NS1 rapid diagnostic test using a single acute-phase serum panel collected during the largest dengue outbreak in Taiwan history in 2015.,2022,Kaohsiung J Med Sci
pubmed,34929668,10.4269/ajtmh.20-1651,,,,Capacity of a Multiplex IgM Antibody Capture ELISA to Differentiate Zika and Dengue Virus Infections in Areas of Concurrent Endemic Transmission.,2021,Am J Trop Med Hyg
pubmed,34926034,10.7759/cureus.19516,,,,Severe Dengue With Multisystem Inflammatory Syndrome in Children Due to COVID-19: A Co-infection Case Series.,2021,Cureus
embase|pubmed,34883813,10.3390/s21237809,636870110,,,Development of a Dengue Virus Serotype-Specific Non-Structural Protein 1 Capture Immunochromatography Method.,2021,Sensors (Basel)
embase|pubmed,34880307,10.1038/s41598-021-02965-x,636864753,,,Dengue NS1 antigen kit shows high sensitivity for detection of recombinant dengue virus-2 NS1 antigen spiked with Aedes aegypti mosquitoes.,2021,Sci Rep
embase|pubmed,34854666,10.1021/acssensors.1c01524,636839090,,,Gravity-Driven Microfluidic Siphons: Fluidic Characterization and Application to Quantitative Immunoassays.,2021,ACS Sens
embase|pubmed,34733567,10.3126/nje.v11i3.37712,2015179022,,,"Clinical and Molecular facets of Dengue Virus infection from Bengaluru, South India.",2021,Nepal J Epidemiol
embase|pubmed,34724872,10.1080/15321819.2021.1984252,2014110377,,,Comparison of two rapid test kits with real time polymerase chain reaction for early diagnosis of dengue in Sri Lanka.,2022,J Immunoassay Immunochem
pubmed,34709642,10.1007/978-1-0716-1879-0_12,,,,Serological Diagnosis of Dengue.,2022,Methods Mol Biol
embase|pubmed,34583255,10.1016/j.cyto.2021.155713,2014748264,,,The relationship between changes in IL-2 / IL-18 and liver enzyme with dengue severity.,2021,Cytokine
embase|pubmed,34555500,10.1016/j.ijid.2021.09.009,2015098555,,,NS1-based ELISA test efficiently detects dengue infections without cross-reactivity with Zika virus.,2021,Int J Infect Dis
embase|pubmed,34504185,10.1038/s41598-021-97339-8,636106100,,,Competitive ELISA for a serologic test to detect dengue serotype-specific anti-NS1 IgGs using high-affinity UB-DNA aptamers.,2021,Sci Rep
embase|pubmed,34372606,10.3390/v13071401,2013070570,,,Laboratory Findings in Patients with Probable Dengue Diagnosis from an Endemic Area in Colombia in 2018.,2021,Viruses
embase|pubmed,34359311,10.3390/diagnostics11071228,2007852145,,,Evaluation of VIDAS(®) Diagnostic Assay Prototypes Detecting Dengue Virus NS1 Antigen and Anti-Dengue Virus IgM and IgG Antibodies.,2021,Diagnostics (Basel)
embase|pubmed,34293361,10.1016/j.ijbiomac.2021.07.083,2013673395,,,"Non-structural protein 1 from Zika virus: Heterologous expression, purification, and potential for diagnosis of Zika infections.",2021,Int J Biol Macromol
pubmed,34290707,10.3389/fimmu.2021.686691,,,,"Dynamics of the Magnitude, Breadth and Depth of the Antibody Response at Epitope Level Following Dengue Infection.",2021,Front Immunol
embase|pubmed,34280138,10.4269/ajtmh.21-0134,2015096300,,,Serological Differences after Acute Zika Virus Infections between Children and Adults: Implication for Use of a Serological Test.,2021,Am J Trop Med Hyg
embase|pubmed,34280136,10.4269/ajtmh.20-1558,2014691321,,,Performance of a New Microfluidic Dengue NS1 Immuno-magnetic Agglutination Assay for the Rapid Diagnosis of Dengue Infection in Adults.,2021,Am J Trop Med Hyg
pubmed,34232731,10.1128/jvi.00619-21,,,,"Identification of Anti-Premembrane Antibody as a Serocomplex-Specific Marker To Discriminate Zika, Dengue, and West Nile Virus Infections.",2021,J Virol
pubmed,34201849,10.3390/bios11070206,,,,Dengue Detection: Advances in Diagnostic Tools from Conventional Technology to Point of Care.,2021,Biosensors (Basel)
embase|pubmed,34193660,10.7883/yoken.jjid.2020.1109,2015645307,,,Development and Evaluation of Two Double-Antibody Sandwich ELISAs for Detecting Severe Fever with Thrombocytopenia Syndrome Virus Infection.,2022,Jpn J Infect Dis
embase|pubmed,34104155,10.12669/pjms.37.3.3369,2006812448,,,Screening of ZIKA virus infection among dengue-like illness patients with negative RT-PCR for dengue virus in Punjab - Pakistan.,2021,Pak J Med Sci
embase|pubmed,34014983,10.1371/journal.pntd.0009445,2007395259,,,Rapid testing requires clinical evaluation for accurate diagnosis of dengue disease: A passive surveillance study in Southern Malaysia.,2021,PLoS Negl Trop Dis
embase|pubmed,33919324,10.3390/diagnostics11050741,2007317684,,,Comparable Accuracies of Nonstructural Protein 1- and Envelope Protein-Based Enzyme-Linked Immunosorbent Assays in Detecting Anti-Dengue Immunoglobulin G Antibodies.,2021,Diagnostics (Basel)
embase|pubmed,33900180,10.3201/eid2705.190121,2011962526,,,"Engineered NS1 for Sensitive, Specific Zika Virus Diagnosis from Patient Serology.",2021,Emerg Infect Dis
pubmed,33835996,10.12659/ajcr.928865,,,,False-Positive Nonstructural Protein 1 Antigen in a Patient with Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia: A Case Report with Literature Review.,2021,Am J Case Rep
embase|pubmed,33793682,10.1371/journal.pone.0249602,2011629000,,,Rapid diagnostic tests for the detection of recent dengue infections: An evaluation of six kits on clinical specimens.,2021,PLoS One
pubmed,33782214,10.4269/ajtmh.20-1449,,,,Comparison of Anti-Dengue and Anti-Zika IgG on a Plasmonic Gold Platform with Neutralization Testing.,2021,Am J Trop Med Hyg
embase|pubmed,33635874,10.1371/journal.pntd.0009065,2006792194,,,High performance dengue virus antigen-based serotyping-NS1-ELISA (plus): A simple alternative approach to identify dengue virus serotypes in acute dengue specimens.,2021,PLoS Negl Trop Dis
embase|pubmed,33533869,10.1590/0074-02760200287,634186023,,,Dengue diagnostics: serious inaccuracies are likely to occur if pre-analytical conditions are not strictly followed.,2021,Mem Inst Oswaldo Cruz
pubmed,33475609,10.47391/jpma.1038,,,,Frequency of Dengue Virus Serotype 1 in Lahore by In-house assay.,2020,J Pak Med Assoc
embase|pubmed,33421159,10.1002/jmv.26790,2010496586,,,Detection and confirmation of dengue pre- and postintroduction of dengue NS1-antigen test at the University Malaya Medical Centre: An observational study.,2021,J Med Virol
embase|pubmed,33245437,10.1007/s00705-020-04892-0,633539047,,,Use of whole blood over plasma enhances the detection of dengue virus RNA: possible utility in dengue vaccine trials.,2021,Arch Virol
pubmed,33241785,10.4269/ajtmh.20-0795,,,,Zika Virus Disease Comparing Children and Adults in a Dengue-Endemic Setting.,2020,Am J Trop Med Hyg
embase|pubmed,33228680,10.1186/s12936-020-03502-3,2007355315,,,Performance evaluation of machine learning-based infectious screening flags on the HORIBA Medical Yumizen H550 Haematology Analyzer for vivax malaria and dengue fever.,2020,Malar J
embase|pubmed,33212068,10.1016/s1473-3099(20)30695-2,2010241153,,,Accuracy and efficacy of pre-dengue vaccination screening for previous dengue infection with five commercially available immunoassays: a retrospective analysis of phase 3 efficacy trials.,2021,Lancet Infect Dis
embase|pubmed,33180784,10.1371/journal.pntd.0008747,2005927892,,,Performance of molecular and serologic tests for the diagnosis of scrub typhus.,2020,PLoS Negl Trop Dis
pubmed,33176708,10.1186/s12879-020-05568-5,,,,Dengue in Western Uganda: a prospective cohort of children presenting with undifferentiated febrile illness.,2020,BMC Infect Dis
embase|pubmed,33169584,10.13345/j.cjb.200117,633392751,,,[Development and characterization of serotype-specific monoclonal antibodies against Dengue virus NS1].,2020,Sheng Wu Gong Cheng Xue Bao
embase|pubmed,33106679,10.1038/s41596-020-0390-9,2007071190,,,Label-free capacitive assaying of biomarkers for molecular diagnostics.,2020,Nat Protoc
pubmed,33017959,10.1109/embc44109.2020.9176003,,,,Optimal Scree-CNN for Detecting NS1 Molecular Fingerprint from Salivary SERS Spectra.,2020,Annu Int Conf IEEE Eng Med Biol Soc
embase|pubmed,33008118,10.3390/v12101114,2008030164,,,Expansion and Refinement of Deep Sequence-Coupled Biopanning Technology for Epitope-Specific Antibody Responses in Human Serum.,2020,Viruses
embase|pubmed,32991592,10.1371/journal.pone.0239710,2008017864,,,Evaluation of rapid diagnostic tests to detect dengue virus infections in Taiwan.,2020,PLoS One
embase|pubmed,32964929,10.1093/trstmh/traa088,2010109087,,,"Combined score based on arterial lactate, aspartate transaminase and prolonged capillary refill time is a useful diagnostic criterion for identifying severe dengue.",2020,Trans R Soc Trop Med Hyg
embase|pubmed,32925941,10.1371/journal.pntd.0008603,2005179858,,,Comparison of dengue case classification schemes and evaluation of biological changes in different dengue clinical patterns in a longitudinal follow-up of hospitalized children in Cambodia.,2020,PLoS Negl Trop Dis
embase|pubmed,32841419,10.1002/jmv.26455,2006953186,,,Preparation and application of yellow fever virus NS1 protein-specific monoclonal antibodies.,2021,J Med Virol
embase|pubmed,32832567,10.1155/2020/1820325,2007521830,,,Detection of Dengue Virus-Specific IgM and IgG Antibodies through Peptide Sequences of Envelope and NS1 Proteins for Serological Identification.,2020,J Immunol Res
embase|pubmed,32829138,10.1016/j.jcv.2020.104584,2007510928,,,High specificity of OraQuick® rapid HIV-1/2 antibody testing during dengue infection.,2020,J Clin Virol
